#{"t_start": 1772813248.3537831, "env_id": "None"}
r,l,t
-108.822787,200,1.676494
-110.401744,200,4.311906
-112.586672,200,6.438801
-122.124978,200,8.710256
-111.19654,200,10.839487
-122.947763,200,13.610028
-109.731238,200,16.168151
8.70029,5,16.260607
-100.184285,200,18.707411
-66.175753,133,20.194446
9.43323,2,20.247071
-105.526315,200,22.73886
-99.345452,200,24.871363
-75.716092,165,26.887097
-26.024376,76,27.853471
-112.646707,200,30.388552
-118.435238,200,33.039995
-129.937881,200,35.554155
-106.603894,200,37.906786
-110.644381,200,40.229177
9.455737,2,40.282327
-8.5698,40,40.980248
-107.896525,200,43.379835
-31.865233,79,44.240107
-113.35093,200,46.372383
-126.865678,200,48.806993
-19.722391,77,49.672852
-106.937256,200,52.094685
1.201926,19,52.372459
1.731806,24,52.73468
-124.028372,200,54.970388
-114.765153,200,57.100609
-111.351149,200,59.285298
-112.242205,200,61.461699
-113.90156,200,63.659212
-122.64923,200,65.852506
9.392646,3,65.917038
-115.450902,200,68.07302
-93.813514,200,70.214211
-90.738263,200,72.383726
6.662782,10,72.519335
-115.965578,200,74.708512
-104.592855,200,81.939987
6.532057,11,82.31279
-114.436772,200,86.579075
6.853608,10,86.716881
-130.110078,200,88.888811
-108.553772,200,91.074303
-123.65145,200,93.371787
-122.692905,200,97.300305
-120.494143,200,99.79642
8.910346,3,99.870439
-0.2368,25,100.171858
-96.653262,200,102.401585
-99.876346,200,104.567473
7.720405,7,104.673698
-82.436157,200,106.857285
-113.711057,200,109.012514
-160.696902,200,111.375417
1.358867,24,111.672322
-63.188194,164,113.523701
2.35566,19,113.763735
-111.223701,200,116.021401
-97.782295,200,118.194115
6.775959,8,118.313186
3.189897,19,118.560706
-104.028734,200,120.705964
-139.736227,200,123.34612
-16.996805,65,124.196153
3.263457,18,124.552865
-4.810942,35,125.146641
-105.047317,200,127.575222
8.841179,5,127.694561
-108.5255,200,130.513598
-121.641098,200,133.080318
-172.792968,200,135.507683
-115.317364,200,138.206688
-106.522841,200,140.613783
-138.973689,200,142.938488
-110.948456,200,145.800292
-109.391128,200,148.585135
-117.953954,200,151.474382
-79.702279,200,153.652578
-112.722616,200,156.618013
-88.044876,200,159.786614
-117.199969,200,162.436992
8.614391,7,162.556782
9.37907,3,162.628693
-148.516133,200,165.23089
-92.535127,200,167.671627
4.366656,17,167.905904
-142.795911,200,170.38346
-10.166631,44,170.975446
-108.751651,200,173.579677
8.199842,7,173.694354
9.252988,3,173.769345
8.850676,4,173.854762
-87.920717,200,176.642752
-96.682924,200,179.217093
8.467243,5,179.310782
8.891813,3,179.379679
9.316881,2,179.437359
-133.410782,200,181.92768
-112.942657,200,184.293981
-39.180774,105,185.452366
-116.083428,200,187.637254
-149.145916,200,190.04269
-33.419582,99,191.210359
-133.093414,200,193.65917
-118.030942,200,195.96575
-116.150211,200,198.919251
-114.842801,200,201.604137
9.145736,3,201.681495
-183.801399,200,204.321657
-130.409735,200,206.82227
-71.97363,181,208.844257
8.611132,6,208.938233
-132.827337,200,211.096968
7.626144,7,211.20231
-94.532316,200,213.405116
-121.094863,200,215.64052
-98.682145,200,217.815446
-124.079321,200,220.023507
-9.86302,41,220.491934
-42.705499,95,221.545301
-165.821478,200,223.75047
-113.973402,200,226.172233
-101.432165,200,228.362347
-35.369043,100,229.49269
-130.028476,200,231.661154
-82.107726,200,233.847848
-118.113856,200,236.378612
-56.395896,149,238.069893
-126.581826,200,240.415483
-128.143625,200,242.714451
-112.070986,200,245.084199
9.469666,2,245.139207
-35.71356,95,246.330242
-111.613214,200,248.772419
-133.205119,200,251.103901
-130.986907,200,253.812219
-103.904291,200,256.568436
-107.512458,200,259.513061
-116.826796,200,261.759252
-85.949861,190,263.919938
-112.154722,200,267.279408
-110.164573,200,269.997539
-141.281929,200,272.425419
-109.22565,200,274.959719
-104.751075,200,277.124264
-102.32206,200,279.454349
-140.351544,200,281.661393
-116.365891,200,283.896967
-117.434313,200,286.066577
